 product_name,product_category_tree,brand,discounted_price,description
Sifty Collection Acrylic Painting,"[""Home Decor & Festive Needs >> Wall Decor & Clocks >> Paintings >> Sifty Collection Paintings >> Sifty Collection Acrylic Painting (14 inch x 20 ...""]",Sifty Collection,649,"Key Features of Sifty Collection Acrylic Painting Theme: Wildlife Frame Included,Specifications of Sifty Collection Acrylic Painting (14 inch x 20 inch) General Brand Sifty Collection Model Number s05 Frame Included Yes Painting Type Acrylic Wall Mount Yes Painting Theme Wildlife Frame Color Black Dimensions Weight 0.3 kg Height 14 inch Width 20 inch In the Box Pack of 1"
OOBINNO Half Full Glass Digital Reprint Painting,"[""Home Decor & Festive Needs >> Wall Decor & Clocks >> Paintings >> OOBINNO Paintings >> OOBINNO Half Full Glass Digital Reprint Painting...""]",OOBINNO,599,"Key Features of OOBINNO Half Full Glass Digital Reprint Painting High Definition Prints,OOBINNO Half Full Glass Digital Reprint Painting (13 inch x 10 inch) Price: Rs. 599 Motivational Quote Wall Painting with Wooden Glass Frame. Ready Wall Mount suitable for office and study walls décor,Specifications of OOBINNO Half Full Glass Digital Reprint Painting (13 inch x 10 inch) General Brand OOBINNO Shape Rectangular Frame Material Wood Model Number OB-335 Frame Included Yes Painting Type Digital Reprint Model Name Half Full Glass Painting Theme Modern Art Wall Mount Yes Frame Color White Dimensions Weight 0.45 kg Height 13 inch Width 10 inch Warranty Covered in Warranty Frame Warranty Summary 1 Year Warranty In the Box Sales Package 1 Wall Painting Pack of 1 Additional Features Water Resistant Yes"
Lab No. 4 Analog 30 cm Dia Wall Clock,"[""Home Decor & Festive Needs >> Wall Decor & Clocks >> Clocks >> Wall Clocks >> Lab No. 4 Wall Clocks >> Lab No. 4 Analog 30 cm Dia Wall Clock (White, Wi...""]",Lab No. 4,750,"Key Features of Lab No. 4 Analog 30 cm Dia Wall Clock White Round Width: 30 cm Height: 30 cm,Lab No. 4 Analog 30 cm Dia Wall Clock (White, With Glass) Price: Rs. 750 ""Follow Your Intuition."" Style and quality at its best, the Wall Clock by Lab No. 4 is the perfect addition to your home. It features a magnificent design that makes it look appealing. The clock works on high performance quartz movement that provides long lasting usage. It is made from premium quality Solid plastic that makes it durable and long lasting. The Clock is artistically decorated to make your surrounding more aesthetically pleasant. The Clock Gives More Beautiful View With Designer Walls. Note: Requires one AA battery, which is not included.,Specifications of Lab No. 4 Analog 30 cm Dia Wall Clock (White, With Glass) General Mechanism Quartz Model Number CS078GR1A1W Display Features Display Size 11 inch Dimensions Diameter 30 cm Weight 650 g Height 30 cm Width 30 cm Power Features Battery Type 1 AA Size Batteries Power Source Battery Powered Luxury Luxury Clock Yes Additional Features Made of quality material which ensures longevity Adds beauty to the wall apart from showing time Body Features Case Color Silver Dial Shape Round Case/Bezel Material Plastic Number of Hands 3 Dial Color Green Dial Material Plastic In the Box Number of Contents in Sales Package Pack of 1 Sales Package Wall Clock"
"Transtal 'Triangle Lean' Corner 9"" Acrylic Wall Shelf","[""Home Decor & Festive Needs >> Wall Decor & Clocks >> Wall Shelves >> Transtal Wall Shelves >> Transtal 'Triangle Lean' Corner 9\"" Acrylic Wall ...""]",Transtal,369,"Key Features of Transtal 'Triangle Lean' Corner 9"" Acrylic Wall Shelf Suitable For: Living Room & Bedroom Wall Mountable Rust Proof,Transtal 'Triangle Lean' Corner 9"" Acrylic Wall Shelf (Number of Shelves - 1, Clear) Price: Rs. 369 •CORNER SHELF – your corner wall space could finally be used to display/store your memorabilia and other items •TRANSPARENT – makes the room look bigger, translucent edges ensure better safety. Gives your items a floating feel. •CRYSTAL CLEAR – Made of acrylic, is absolutely clear. Does not yellow or fade when exposed to water and weather. •UNBREAKABLE – at 6mm thickness, is sturdy and rigid •MULTIPURPOSE – Could be used in every room of the house. Display photos in the hall, spices in the kitchen or cologne in the bathroom.,Specifications of Transtal 'Triangle Lean' Corner 9"" Acrylic Wall Shelf (Number of Shelves - 1, Clear) General Brand Transtal Suitable For Living Room & Bedroom Model Number 501.3sL9x9 Material Acrylic Model Name 'Triangle Lean' Corner 9"" Color Clear Body & Design Features Mount Mechanism Screw-in Number of Shelves 1 Additional Features Rust Proof Yes In the Box Sales Package 9 x 9 Inches - 'Triangle Lean' Corner Shelf, Screw & wallplugs"
"Transtal 'Triangle' Corner 8"" Acrylic Wall Shelf","[""Home Decor & Festive Needs >> Wall Decor & Clocks >> Wall Shelves >> Transtal Wall Shelves >> Transtal 'Triangle' Corner 8\"" Acrylic Wall Shelf...""]",Transtal,369,"Key Features of Transtal 'Triangle' Corner 8"" Acrylic Wall Shelf Suitable For: Living Room & Bedroom Wall Mountable Rust Proof,Transtal 'Triangle' Corner 8"" Acrylic Wall Shelf (Number of Shelves - 1, Clear) Price: Rs. 369 •CORNER SHELF – your corner wall space could finally be used to display/store your memorabilia and other items •TRANSPARENT – makes the room look bigger, translucent edges ensure better safety. Gives your items a floating feel. •RUST PROOF – Stainless steel ensure no rusting •CRYSTAL CLEAR – Made of acrylic, is absolutely clear. Does not yellow or fade when exposed to water and weather. •UNBREAKABLE – at 6mm thickness, is sturdy and rigid •MULTIPURPOSE – Could be used in every room of the house. Display photos in the hall, spices in the kitchen or cologne in the bathroom.,Specifications of Transtal 'Triangle' Corner 8"" Acrylic Wall Shelf (Number of Shelves - 1, Clear) General Brand Transtal Suitable For Living Room & Bedroom Model Number 501.3s8x8 Material Acrylic Model Name 'Triangle' Corner 8"" Color Clear Body & Design Features Mount Mechanism Screw-in Number of Shelves 1 Additional Features Rust Proof Yes Other Features acrylic & stainless steel railing In the Box Sales Package 8 x 8 Inches - 'Triangle' Corner Shelf, Screws & wallplugs"
R&Mshoppee MDF Wall Shelf,"[""Home Decor & Festive Needs >> Wall Decor & Clocks >> Wall Shelves >> R&Mshoppee Wall Shelves >> R&Mshoppee MDF Wall Shelf (Number of Shelves - 1...""]",R&Mshoppee,580,"Key Features of R&Mshoppee MDF Wall Shelf Trendy & Stylish easy to assemble,R&Mshoppee MDF Wall Shelf (Number of Shelves - 1, Black) Price: Rs. 725 this H shape wall shelf will increase decoration of your walls you can use it as book shelf , dvd shelf or can keep show pieces on it .,Specifications of R&Mshoppee MDF Wall Shelf (Number of Shelves - 1, Black) General Brand R&Mshoppee Suitable For Living Room & Bedroom Model Number r&m0179 Material MDF Color Black Body & Design Features Number of Shelves 1 In the Box Sales Package 1 shelf Additional Features Other Features screw included"
"Transtal 'V' Edge 10"" Acrylic Wall Shelf","[""Home Decor & Festive Needs >> Wall Decor & Clocks >> Wall Shelves >> Transtal Wall Shelves >> Transtal 'V' Edge 10\"" Acrylic Wall Shelf (Number...""]",Transtal,449,"Key Features of Transtal 'V' Edge 10"" Acrylic Wall Shelf Suitable For: Living Room & Bedroom Wall Mountable Rust Proof,Transtal 'V' Edge 10"" Acrylic Wall Shelf (Number of Shelves - 1, Clear) Price: Rs. 449 •EDGE SHELF – your wall edges could finally be used to display/store your memorabilia and other items •TRANSPARENT – makes the room look bigger, translucent edges ensure better safety. Gives your items a floating feel. •CRYSTAL CLEAR – Made of acrylic, is absolutely clear. Does not yellow or fade when exposed to water and weather. •UNBREAKABLE – at 6mm thickness, is sturdy and rigid •MULTIPURPOSE – Could be used in every room of the house. Display photos in the hall, spices in the kitchen or cologne in the bathroom.,Specifications of Transtal 'V' Edge 10"" Acrylic Wall Shelf (Number of Shelves - 1, Clear) General Brand Transtal Suitable For Living Room & Bedroom Model Number 502.2s10x10 Material Acrylic Model Name 'V' Edge 10"" Color Clear Body & Design Features Mount Mechanism Screw-in Number of Shelves 1 Additional Features Rust Proof Yes Other Features acrylic & stainless steel railing In the Box Sales Package 10 x 10 Inches - 'V ' Edge Shelf, Screw & wallplugs"
Celebration Mart RANGOLI005 Rangoli Stencil,"[""Home Decor & Festive Needs >> Religion & Devotion >> Rangoli Stencils >> Celebration Mart Rangoli Stencils >> Celebration Mart RANGOLI005 Rangoli Stencil""]",Celebration Mart,400,"Celebration Mart RANGOLI005 Rangoli Stencil Price: Rs. 400 Rangoli has been a part of Indian culture for centuries. This is a beautiful handmade acrylic rearrangeable rangoli with creative design and kundan work, which enhances its beauty. This unique rangoli will enlarge beauty of your home , pooja place, centre table, arti thali,can be pasted on the wall to decorate your living room wall. Apart from this is the best gift to give to your friends.,Specifications of Celebration Mart RANGOLI005 Rangoli Stencil General Brand Celebration Mart Type Rangoli Stencil In the Box Number of Stencils 7"
LUMENPULSE Recessed Ceiling Lamp,"[""Home Decor & Festive Needs >> Decorative Lighting & Lamps >> Ceiling Lamps >> LUMENPULSE Ceiling Lamps >> LUMENPULSE Recessed Ceiling Lamp""]",LUMENPULSE,795,"Key Features of LUMENPULSE Recessed Ceiling Lamp Long life upto 50,000hrs Significant energy saving upto 70% high power factor (>.95) using IC base driver with all protectection as per BIS,Specifications of LUMENPULSE Recessed Ceiling Lamp General Bulb Included No Brand LUMENPULSE Model Number TOPAZ 18 Type Recessed Assembly Required No Light Used LED Material Aluminium Alloy Number of Bulb 1 Color White Warranty Covered in Warranty 2 Service Type factory base service Warranty Summary 2 years Dimensions Cord Length 0 Weight 575 g Length 23 cm Other Dimensions 180x180, 156x156 Width 19 cm Additional Features Other Features LM80 Approved led In the Box Sales Package Connecting wire, Driver"
Mazda Energy Flush Mount Ceiling Lamp,"[""Home Decor & Festive Needs >> Decorative Lighting & Lamps >> Ceiling Lamps >> Mazda Energy Ceiling Lamps >> Mazda Energy Flush Mount Ceiling Lamp""]",Mazda Energy,699,"Key Features of Mazda Energy Flush Mount Ceiling Lamp On Purchase you will receive 1 PC OF 15W Panel Light. All hardware to fix the light will be provided 2yrs Warranty only if bought from Mazda Energy. Warranty will be void if bought from other Dealer. Operating Voltage:AC 85-265V Product Size:170x170mm. Square Shape Mounting Hole:150x150mm Lifetime:50,000 hrs / Light Color White Light Source:75 pcs SMD 2835 /Luminous Flux: 1575Lm,Mazda Energy Flush Mount Ceiling Lamp Price: Rs. 699 Mazda Energy brings you this Square shaped LED panel light in White colour. The panel light is made from Die Cast Aluminium with Powder Coated White finish. Power consumption for the light is 15 watt, and voltage specification is 230 V AC, while the luminous intensity is 1560 lm , saving you light and your electricity bill BY 80%. With Anti-Glare Diffuser, LED Chip: SMD 2835, the quality and the durability of the light is unmatched. The light can be fixed into Recessed, POP, or False ceiling. The dimensions are Length: 170 mm, Width: 170 mm, Height: 14 mm, Cut-Out Size:150x150mm Also, there is 2 year seller warranty on the product. PRODUCT SPECIFICATIONS:- Beam Angle:120 Degree Body Color:White Color Temperature:6000-6500K CRI:≧Ra 75 LED Chip:San An Lifetime:50,000 hrs Light Color:Cool White Light Source:75 pcs SMD 2835 Luminous Flux: 1350Lm Material:Aluminium Alloy Mounting Hole: 150x150mm Product Size:170x170mm Shape: Square Voltage:AC 230V Warranty:2 Years Waterproof Rating:IP30 Wattage:15W FREE REPLAEMENT WARRANTY FOR 2YRS. LIFE OF THE PRODUCT IS 7-8 YRS.,Specifications of Mazda Energy Flush Mount Ceiling Lamp General Bulb Included Yes Brand Mazda Energy Model Number 15W SQUARE WHITE Type Flush Mount Assembly Required Yes Light Used LED Material Aluminium Alloy Number of Bulb 1 Color White Warranty Covered in Warranty Full Product is covered under Warranty. Physical and Water damages is not covered. Service Type Customer Needs to contact Mazda Energy & we will solve it. Not Covered in Warranty PHYSICAL DAMAGE, WATER DAMAGE, SHORT CIRCUIT, VOLTAGE FLUCTUATION Dimensions Cord Length 30 cm Weight 320 g Length 17 cm Other Dimensions Product size is 170x170mm, Cut-out size is 150x150mm Width 17 cm In the Box Sales Package Square LED Panel, LED Driver, Spring Clamps"
Happy walls Extra Large PVC vinyl Sticker,"[""Home Decor & Festive Needs >> Wall Decor & Clocks >> Wall Decals & Stickers >> Happy walls Wall Decals & Stickers >> Happy walls Extra Large PVC vinyl Sticker (Pack ...""]",Happy walls,239,"Key Features of Happy walls Extra Large PVC vinyl Sticker Height : 110 cm Width : 80 cm Imported Pvc vinyl,Happy walls Extra Large PVC vinyl Sticker (Pack of 1) Price: Rs. 239 PVC Vinyl Compatible Ideal for Family Lounge, Bedroom, Cafe and Restaurantstickers decorate your home just in minutes. Wall Sticker Application Instruction Our wall decal application instructions will make it easy for you to apply your wall decals. 1). The surface you wish to attach your decal must be clean and free from dust, grease or any other contamination. 2). Simply peel those pre-cut pieces of wall stickers off from backing paper and apply them on the desired area. Freshly painted or lacquered surfaces must be allowed to completely cure before the decal is applied. We recommend waiting for minimum of 2-3 weeks. 3). Press firmly to squeeze out any air bubbles. Please Note: It will be helpful and fun if you take help of your friends or family members to stick the wall decals on your wall. 3). DO NOT APPLY ON WET WALL, Kids room, Nursery Room etc. Features PVC, Non-toxic, Eco-friendly...,Specifications of Happy walls Extra Large PVC vinyl Sticker (Pack of 1) In The Box Number of Contents in Sales Package Pack of 1 General Brand Happy walls Laminated Yes Type PVC vinyl Size in Number 12 Number of Stickers 1 Material Imported Pvc vinyl Size Extra Large Dimensions Weight 200 g Height 110 cm Width 80 cm"
Happy walls Extra Large PVC vinyl Sticker,"[""Home Decor & Festive Needs >> Wall Decor & Clocks >> Wall Decals & Stickers >> Happy walls Wall Decals & Stickers >> Happy walls Extra Large PVC vinyl Sticker (Pack ...""]",Happy walls,299,"Key Features of Happy walls Extra Large PVC vinyl Sticker Height : 90 cm Width : 120 cm Imported Pvc vinyl,Happy walls Extra Large PVC vinyl Sticker (Pack of 1) Price: Rs. 299 PVC Vinyl Compatible Ideal for Family Lounge, Bedroom, Cafe and Restaurantstickers decorate your home just in minutes. Wall Sticker Application Instruction Our wall decal application instructions will make it easy for you to apply your wall decals. 1). The surface you wish to attach your decal must be clean and free from dust, grease or any other contamination. 2). Simply peel those pre-cut pieces of wall stickers off from backing paper and apply them on the desired area. Freshly painted or lacquered surfaces must be allowed to completely cure before the decal is applied. We recommend waiting for minimum of 2-3 weeks. 3). Press firmly to squeeze out any air bubbles. Please Note: It will be helpful and fun if you take help of your friends or family members to stick the wall decals on your wall. 3). DO NOT APPLY ON WET WALL, Kids room, Nursery Room etc. Features PVC, Non-toxic, Eco-friendly...,Specifications of Happy walls Extra Large PVC vinyl Sticker (Pack of 1) In The Box Number of Contents in Sales Package Pack of 1 General Brand Happy walls Laminated Yes Type PVC vinyl Size in Number 12 Number of Stickers 1 Material Imported Pvc vinyl Size Extra Large Dimensions Weight 200 g Height 90 cm Width 120 cm Additional Features These are very easily Apply & removable Wall Stickers..."
Rrsskids Swing King Cotton Hammock,"[""Home Decor & Festive Needs >> Garden & Leisure >> Hammocks & Swings >> Hammocks >> Rrsskids Hammocks >> Rrsskids Swing King Cotton Hammock (White)""]",Rrsskids,4200,"Key Features of Rrsskids Swing King Cotton Hammock Comfortable Durable Attractive design,Rrsskids Swing King Cotton Hammock (White) Price: Rs. 4,200 Perfect for those moments when you feel like swaying along with the breeze, this white colored hammock from RRSSKIDS is the ultimate in comfort. Crafted from a soft cotton material, this hammock will provide a comforting feel while being breathable so that you may lie upon with ease and relaxation. With soft rope, this hammock will conform to your body as you rest.,Specifications of Rrsskids Swing King Cotton Hammock (White) General Brand Rrsskids Maximum Load 150 kg Model Number SBE513 Type Hammock Shade Sober White Material Cotton Model Name Swing King Color White Dimensions Weight 1.2 kg Length 39.38 inch Width 78.75 inch Disclaimer - The color of the product may vary slightly compared to the picture displayed on your screen. This is due to lighting, pixel quality and color settings - Please check the product's dimensions to ensure the product will fit in the desired location. Also, check if the product will fit through...View More - The color of the product may vary slightly compared to the picture displayed on your screen. This is due to lighting, pixel quality and color settings - Please check the product's dimensions to ensure the product will fit in the desired location. Also, check if the product will fit through the entrance(s) and door(s) of the premises - Please expect an unevenness of up to 5 mm in the product due to differences in surfaces and floor levels - Flipkart, or the Seller delivering the product, will not take up any type of civil work, such as drilling holes in the wall to mount the product. The product will only be assembled in case carpentry assembly is required - In case the product appears to lack shine, wiping the surface with a cloth will help clear the surface of dust particles Body & Design Features Foldable Yes Portable Yes Pillow Provided No In the Box Sales Package 1 Hammock Pack of 1"
Ddreamz Small PVC Vinyl Sticker,"[""Home Decor & Festive Needs >> Wall Decor & Clocks >> Wall Decals & Stickers >> Ddreamz Wall Decals & Stickers >> Ddreamz Small PVC Vinyl Sticker (Pack of 1)""]",Ddreamz,189,"Key Features of Ddreamz Small PVC Vinyl Sticker AFFORDABLE WASHABLE CUSTOMIZABLE EASY TO APPLY EASY TO MAINTAIN HEIGHT OR WIDTH 61 cms.,Ddreamz Small PVC Vinyl Sticker (Pack of 1) Price: Rs. 189 Wall Decal Is A Vinyl Sticker That Is Affixed To A Wall Or Other Smooth Surface For Decoration And Informational Purpose, As A Quick And Easy Way To Personalize And Transform Your Home. A Very Unique And A Beautiful Product From The House Of Ddreamz. It’S Easy To Apply. Decals Can Range From Simple Small Wall Borders And Cut Outs To More Complex Murals Covering Entire Walls. They May Feature Words, Pictures And Designs. Vinyl Wall Decals Come In Various Shapes And Sizes. They Can Be As Small Or As Large As Necessary. Vinyl Decals Have Various Uses. Vinyl Decals Were Originally Only Used For Sign Making, But They Have Recently Been Added To Interior Decorators Portfolios And Have Also Become Well Known As A ‘Do-It-Yourself’ Home Decorating Option. Decals Can Be Used On Windows, Walls Or Tiles As Decoration. They May Also Serve As A Tool To Inform People That There Is A Glass Door Or Window. Sizes Available for Wall Stickers are Following : TINY = 45cms X 60cms, SMALL = 60cms X 60cms, MEDIUM = 75cms X 60cms, LARGE = 90cms X 60cms, SUPER = 105cms X 60cms, JUMBO = 120cms X 60cms, GIANT = 135cms X 60cms, MEGA = 150cms X 60cms.,Specifications of Ddreamz Small PVC Vinyl Sticker (Pack of 1) In The Box Number of Contents in Sales Package Pack of 1 Sales Package 01 Wall Sticker, Installation Manual General Ideal Use Child Bedroom, Kids Bedroom, Living room, Boys & Girls Bedroom, Wall & Glass Scratch-resistant Yes Shape Rectangular Brand Ddreamz Type PVC Vinyl Size in Number 61 cm Number of Stickers 1 Material Vinyl Size Small Dimensions Height 61 cm Width 45 cm"
Happy walls Extra Large PVC vinyl Sticker,"[""Home Decor & Festive Needs >> Wall Decor & Clocks >> Wall Decals & Stickers >> Happy walls Wall Decals & Stickers >> Happy walls Extra Large PVC vinyl Sticker (Pack ...""]",Happy walls,299,"Key Features of Happy walls Extra Large PVC vinyl Sticker Height : 130 cm Width : 120 cm Imported Pvc vinyl,Happy walls Extra Large PVC vinyl Sticker (Pack of 1) Price: Rs. 299 PVC Vinyl Compatible Ideal for Family Lounge, Bedroom, Cafe and Restaurantstickers decorate your home just in minutes. Wall Sticker Application Instruction Our wall decal application instructions will make it easy for you to apply your wall decals. 1). The surface you wish to attach your decal must be clean and free from dust, grease or any other contamination. 2). Simply peel those pre-cut pieces of wall stickers off from backing paper and apply them on the desired area. Freshly painted or lacquered surfaces must be allowed to completely cure before the decal is applied. We recommend waiting for minimum of 2-3 weeks. 3). Press firmly to squeeze out any air bubbles. Please Note: It will be helpful and fun if you take help of your friends or family members to stick the wall decals on your wall. 3). DO NOT APPLY ON WET WALL, Kids room, Nursery Room etc. Features PVC, Non-toxic, Eco-friendly...,Specifications of Happy walls Extra Large PVC vinyl Sticker (Pack of 1) In The Box Number of Contents in Sales Package Pack of 1 General Brand Happy walls Laminated Yes Type PVC vinyl Size in Number 12 Number of Stickers 1 Material Imported Pvc vinyl Size Extra Large Dimensions Weight 200 g Height 130 cm Width 120 cm Additional Features These are very easily Apply & removable Wall Stickers..."
Ddreamz Small PVC Vinyl Sticker,"[""Home Decor & Festive Needs >> Wall Decor & Clocks >> Wall Decals & Stickers >> Ddreamz Wall Decals & Stickers >> Ddreamz Small PVC Vinyl Sticker (Pack of 1)""]",Ddreamz,,"Key Features of Ddreamz Small PVC Vinyl Sticker AFFORDABLE WASHABLE CUSTOMIZABLE EASY TO APPLY EASY TO MAINTAIN HEIGHT OR WIDTH 61 cms,Ddreamz Small PVC Vinyl Sticker (Pack of 1) Price: Rs. 319 Wall Decal Is A Vinyl Sticker That Is Affixed To A Wall Or Other Smooth Surface For Decoration And Informational Purpose, As A Quick And Easy Way To Personalize And Transform Your Home. A Very Unique And A Beautiful Product From The House Of Ddreamz. It’S Easy To Apply. Decals Can Range From Simple Small Wall Borders And Cut Outs To More Complex Murals Covering Entire Walls. They May Feature Words, Pictures And Designs. Vinyl Wall Decals Come In Various Shapes And Sizes. They Can Be As Small Or As Large As Necessary. Vinyl Decals Have Various Uses. Vinyl Decals Were Originally Only Used For Sign Making, But They Have Recently Been Added To Interior Decorators Portfolios And Have Also Become Well Known As A ‘Do-It-Yourself’ Home Decorating Option. Decals Can Be Used On Windows, Walls Or Tiles As Decoration. They May Also Serve As A Tool To Inform People That There Is A Glass Door Or Window. Sizes Available for Wall Stickers are Following : TINY = 45cms X 60cms, SMALL = 60cms X 60cms, MEDIUM = 75cms X 60cms, LARGE = 90cms X 60cms, SUPER = 105cms X 60cms, JUMBO = 120cms X 60cms, GIANT = 135cms X 60cms, MEGA = 150cms X 60cms.,Specifications of Ddreamz Small PVC Vinyl Sticker (Pack of 1) In The Box Number of Contents in Sales Package Pack of 1 Sales Package 01 Wall Sticker, Installation Manual General Ideal Use Child Bedroom, Kids Bedroom, Living room, Boys & Girls Bedroom, Wall & Glass Scratch-resistant Yes Shape Rectangular Brand Ddreamz Type PVC Vinyl Size in Number 61 cm Number of Stickers 1 Material Vinyl Size Small"
Smart Wall Guru Small Adhesive Sticker Sticker,"[""Home Decor & Festive Needs >> Wall Decor & Clocks >> Wall Decals & Stickers >> Smart Wall Guru Wall Decals & Stickers >> Smart Wall Guru Small Adhesive Sticker Sticker (...""]",Smart Wall Guru,199,"Key Features of Smart Wall Guru Small Adhesive Sticker Sticker Make For Smart Bedroom Study room Looking Awesome Living room Bath room Attractive Guest room Kitchen Easy to Install Easy to Remove Easy To Clean All Wall Decal are front Matte Finish, water resistant & packaged between two layers.,Smart Wall Guru Small Adhesive Sticker Sticker (Pack of 1) Price: Rs. 199 'Smart Wall Guru'' gives u a pure beautiful house with our decoration wall stickers,wall decals & all kind of designs for your home decoration.These stickers are made of self adhesive PVC vinyl and very easy to apply on plane surface. These are the great suppliment of wallpaper,wall color and another decoration method. Thnkss…,Specifications of Smart Wall Guru Small Adhesive Sticker Sticker (Pack of 1) In The Box Number of Contents in Sales Package Pack of 1 Sales Package 1 Sticker General Ideal Use Home, Child Bedroom, Bedroom Brand Smart Wall Guru Scratch-resistant Yes Laminated Yes Type Adhesive Sticker Number of Stickers 1 Size in Number 27.61 cm Material Self Adhesive PVC Vinyl Size Small Dimensions Height 27 cm Width 61 cm"
Happy walls Extra Large PVC vinyl Sticker,"[""Home Decor & Festive Needs >> Wall Decor & Clocks >> Wall Decals & Stickers >> Happy walls Wall Decals & Stickers >> Happy walls Extra Large PVC vinyl Sticker (Pack ...""]",Happy walls,299,"Key Features of Happy walls Extra Large PVC vinyl Sticker Height : 100 cm Width : 100 cm Imported Pvc vinyl,Happy walls Extra Large PVC vinyl Sticker (Pack of 1) Price: Rs. 299 PVC Vinyl Compatible Ideal for Family Lounge, Bedroom, Cafe and Restaurantstickers decorate your home just in minutes. Wall Sticker Application Instruction Our wall decal application instructions will make it easy for you to apply your wall decals. 1). The surface you wish to attach your decal must be clean and free from dust, grease or any other contamination. 2). Simply peel those pre-cut pieces of wall stickers off from backing paper and apply them on the desired area. Freshly painted or lacquered surfaces must be allowed to completely cure before the decal is applied. We recommend waiting for minimum of 2-3 weeks. 3). Press firmly to squeeze out any air bubbles. Please Note: It will be helpful and fun if you take help of your friends or family members to stick the wall decals on your wall. 3). DO NOT APPLY ON WET WALL, Kids room, Nursery Room etc. Features PVC, Non-toxic, Eco-friendly...,Specifications of Happy walls Extra Large PVC vinyl Sticker (Pack of 1) In The Box Number of Contents in Sales Package Pack of 1 General Brand Happy walls Type PVC vinyl Number of Stickers 1 Size Extra Large Size in Number 12 Material Imported Pvc vinyl Laminated Yes Additional Features These are very easily Apply & removable Wall Stickers... Dimensions Width 100 cm Height 100 cm Weight 200 g"
Smart Wall Guru Large Adhesive Sticker Sticker,"[""Home Decor & Festive Needs >> Wall Decor & Clocks >> Wall Decals & Stickers >> Smart Wall Guru Wall Decals & Stickers >> Smart Wall Guru Large Adhesive Sticker Sticker (...""]",Smart Wall Guru,499,"Key Features of Smart Wall Guru Large Adhesive Sticker Sticker Make For Smart Bedroom Study room Looking Awesome Living room Bath room Attractive Guest room Kitchen Easy to Install Easy to Remove Easy To Clean All Wall Decal are front Matte Finish, water resistant & packaged between two layers.,Smart Wall Guru Large Adhesive Sticker Sticker (Pack of 1) Price: Rs. 499 'Smart Wall Guru'' gives u a pure beautiful house with our decoration wall stickers,wall decals & all kind of designs for your home decoration.These stickers are made of self adhesive PVC vinyl and very easy to apply on plane surface. These are the great suppliment of wallpaper,wall color and another decoration method. Thnkss…,Specifications of Smart Wall Guru Large Adhesive Sticker Sticker (Pack of 1) In The Box Number of Contents in Sales Package Pack of 1 Sales Package 1 Sticker General Ideal Use Home, Child Bedroom, Bedroom Brand Smart Wall Guru Scratch-resistant Yes Laminated Yes Type Adhesive Sticker Number of Stickers 1 Size in Number 45.101 cm Material Self Adhesive PVC Vinyl Size Large Dimensions Height 45 cm Width 101 cm"
Lolprint Rakhi Gifts Scroll Greeting Card,"[""Home Decor & Festive Needs >> Festive Decor >> Greeting Cards >> Lolprint Greeting Cards >> Lolprint Rakhi Gifts Scroll Greeting Card (Multi...""]",Lolprint,499,"Key Features of Lolprint Rakhi Gifts Scroll Greeting Card Rakhi Scroll Card Premium Quality Digital Printing Safe Packaging,Specifications of Lolprint Rakhi Gifts Scroll Greeting Card (Multicolor, Pack of 1) General Brand Lolprint Novelty Features Scroll Theme Rakhi Model Number LPSC398 Type Greeting Material Cloth Fabric, Paper Model Name Rakhi Gifts Scroll Occasion Festival Ideal For Brother, Sister Color Multicolor Dimensions Height 12 inch Width 8 inch Additional Features Other Features Satin Fabric Printing, Matching Scroll Card Box Text Type Printed In the Box Sales Package 1 Card Pack of 1"
Lolprint Rakhi Gifts Scroll Greeting Card,"[""Home Decor & Festive Needs >> Festive Decor >> Greeting Cards >> Lolprint Greeting Cards >> Lolprint Rakhi Gifts Scroll Greeting Card (Multi...""]",Lolprint,499,"Key Features of Lolprint Rakhi Gifts Scroll Greeting Card Rakhi Scroll Card Premium Quality Digital Printing Safe Packaging,Specifications of Lolprint Rakhi Gifts Scroll Greeting Card (Multicolor, Pack of 1) General Brand Lolprint Novelty Features Scroll Theme Rakhi Model Number LPSC437 Type Greeting Material Cloth Fabric, Paper Model Name Rakhi Gifts Scroll Occasion Festival Ideal For Brother, Sister Color Multicolor Dimensions Height 12 inch Width 8 inch Additional Features Other Features Satin Fabric Printing, Matching Scroll Card Box Text Type Printed In the Box Sales Package 1 Card Pack of 1"
Lolprint Friendship Gifts Scroll Greeting Card,"[""Home Decor & Festive Needs >> Festive Decor >> Greeting Cards >> Lolprint Greeting Cards >> Lolprint Friendship Gifts Scroll Greeting Card (...""]",Lolprint,499,"Key Features of Lolprint Friendship Gifts Scroll Greeting Card Friendship Scroll Card Premium Quality Digital Printing Safe Packaging,Specifications of Lolprint Friendship Gifts Scroll Greeting Card (Multicolor, Pack of 1) General Brand Lolprint Novelty Features Scroll Theme Friendship Day Model Number LPSC336 Type Greeting Material Cloth Fabric, Paper Model Name Friendship Gifts Scroll Occasion Friendship Day Ideal For Friend, Girlfriend, Boyfriend Color Multicolor Dimensions Height 12 inch Width 8 inch Additional Features Other Features Satin Fabric Printing, Matching Scroll Card Box Text Type Printed In the Box Sales Package 1 Card Pack of 1"
